rxnid_nad,rxnid_nadp
LNS14DMx,LNS14DM
DKGLCNR2x,DKGLCNR2y
RE2675C_1,RE2675C2
GDPCOLS,GDPCOLS_p
BTS,BTS_nadph
PHYTFDH1,PHYTFDH2
ALCD4,ALCD4y
ACOAD1,T2ECR
RIBDH,RIBDH_2
2DGULRGx,2DGULRGy
HPYRRx,HPYRRy
FMNRx,FMNRx2
UKQUIVORx,UKQUIVORy
FLVRx,FLVR
ALDD2x,ALDD2y
EAR181x,EAR181y
1PPDCRp_1,1PPDCRc
DHDPRx_r,DHDPRy
2DGULRx,2DGULRy
ALCD23xi,ALCD23yi
EAR141x,EAR141y
NDH1_2u,NDH1_1u
DHPTDNRN,DHPTDNR
UAGHD,UAPGR
SO3R,SULR
C3STDH1,HMR_1495
MECDPDH2,MECDPDH_syn
NADH2r,QRr
OMR2,OMR1
DMPPS,DMPPS_syn
SSALx,SSALy
OPALM2,OPALM1
INS2D,INOSR
DOGULNR,DOGULND
PANO,ALR
MTHFD2,MTHFD_1
SLDx,SLDy
CACNAO2,CACNAO
DOP2,DOP1
CHOLD,CHOLD3
EAR100x,EAR100y
FNRR,FNRR2
NOX,H2O2syn
ALCD25xi,ALCD25yi
RE1711C_2,RE1711C
DHFOR,FOLR2_1
ACTD,ACTDa
2DGLCNRx,2DGLCNRy
FADRx,FADRx2
4OXPTCOADHx,4OXPTCOADHy
ALDD20x,ALDD20y
NADQNOXR,NADPQNOXR
FDH,FDH6r
HMR_2016,HMR_2018
CRO4Rx,CRO4Ry
BAMPPALDOX,HMR_4079
THFOR1,THFOR2
ICDHx,ICDHyr
GCALDD,GCALDDy
BETALDHx,BETALDHy
ALCD22_D,LALDD
RADH,RADH2
SHCHD2,SHCHD
EAR180x,EAR180y
MTHFD2i,MTHFD
ANDO1,ANDO2
FRDO6r,FRDO5r
EAR161x,EAR161y
FRDO7r,FRDO4r
4HALDD,4HOXPACDOX_NADP
R5P2D2,R5P2D
r0688,RE1807C
34DHALDD,34DHPLACOX_NADP
CDPABEQS,CDPABEQS2
GDR,GTHOr
TRSARr,TRSARyr
GGGABADxr,GGGABADr
SKDH_1,SHK3Dr
NOX2,MEHLER_1
PY5CCR,PY5CCR2
MTHFR2,MTHFR3
ALCD2x,ALCD2y
PHYTEDH1,PHYTEDH2
PPND,PPND2
NADH10,NADPHQR3
TNTR1x,TNTR1
DROPPRx,DROPPRy
ARAB1D1,ARAB1D2
PHTHCLR1,PHTHCLR2
ME1,ME2
GHBDHx,GHBDHy
MTHFR2_1,MTHFR3_1
HMR_1325,RE2799C
BSORx,BSORy
AASAD2,AASAD1
ALDD19xr,ALDD19x_P
ALCD19,ALCD19y
NADH5,NADPHQR2
RADH3,RADH4
ASPO2,ASPO2y
NADH9,NADPHQR4
NTRIR2x,NTRIR2y
HMR_1557,LTHSTRLOR
MNDNS2,MNDNS1
P5CRx,P5CR
GLUDxi,GLUDy
RDH2,RDH2a
G5SD2,G5SD
RDH3,RDH3a
FRDO3r,FRDO2r
GLUSx,GLUSy
GLYCLTDx,GLYCLTDy
GLYCDx,GLYCDy
RDH1,RDH1a
GLYALDDr,GLYALDDy
GDH1,GLUDy_1
EAR60x,EAR60y
BCAROHX11,BCAROHX
TNTR2x,TNTR2
NODOx,NODOy
IPDPS,IPDPS_syn
C22STDSx,C22STDS
ALDD3,ALDD3y
DHPR,r0398
BTCOARx,BNOCA
O3D2,O3D1
LALDO2x,LALDO2
NDH1_2p,NDH1_1p
DURADx,DURAD
IDOND,IDOND2
PRO1x,PRO1y
LCARR,PPDOy
ABUTD,4ABUTD
IPDDI3x,IPDDI3y
LCARS,LCARSyi
P5CR2,P5CR_1
G6PDH1,G6PDH2r
BCAROHX21,BCAROHX2
HACD1,HBCO_nadp
EAR120x,EAR120y
ALR2x,ALR2
DESAT20_2,HMR_2484
EAR121x,EAR121y
UDPARMNDH,UDPARMNDH_p
BILIRED2,BILIRED
EAR140x,EAR140y
OHO2,OHO1
r0782,GFUCS
HACD8,3OACOAR
3MOX4HOXPGALDOX,3MOX4HOXPGALDOX_NADP
EAR40x,EAR40y
34DHXMANDACOX,34DHXMANDACOX_NADP
ODEC2,ODEC1
EAR160x,EAR160y
HPROa,HPROb
UDPAPD_2,UDPAPD_2_p
PHCD,PY5CDHE
RE3430C_1,RE3430C
13PPDH,13PPDH2
QUINDH,QUINDHyi
DHMPTRx,DHMPTR
AASAD3,AASDH1_c
r0267,r0268
DESAT20_1,HMR_2380
ALCD24xi,ALCD24yi
DESAT18_4,HMR_2293
UDPGALNAC6DH,UDPGALNAC6DH_2
DESAT16_2,DESAT16
CNOR,CPC6R
EAR80x,EAR80y
ALCD22xi,ALCD22yi
DESAT18_10,HMR_2472
O3H3R2,O3H3R1
NAD_H2,H2ASE_syn
DESAT18_3,DESAT18
DESAT18_6,HMR_2359
MDH,MDHy
DESAT18_9,HMR_2368
DHFR2i,DHFR
DHRG,DHRG2
SULRR,SULRR2
TRDR3,TRDR2
NTRIRx,NTRIRy
